response_id,submitted,cohort_key,region,tenure_band,q1_finding_documents,q2_outlook_filing,q3_mobile_access,q4_search_quality,q5_speed_performance,q6_support_responsiveness,q7_training_adequacy,q8_overall_satisfaction,recommend_0_10,understands_insight_ai,what_works_well,what_is_lacking
R0019,2026-07-21,Commercial & Transactions | Lawyer - Senior,US,10+ years,3,4,4,3,3,4,2,3,6,No / unsure,Fine.,Support used to respond the same day. Now it is a week.
R0020,2026-07-18,Employment & Labor | Lawyer - Junior,US,10+ years,3,2,2,2,1,1,2,2,1,No / unsure,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0021,2026-07-17,Privacy & Data Protection | Lawyer - Leadership,UK/Ireland,10+ years,3,4,3,3,3,2,4,3,5,Yes,It does the job.,Painfully slow from the London office in the afternoon.
R0022,2026-07-15,Intellectual Property | Paraprofessional,US,10+ years,4,5,4,4,4,3,3,4,6,No / unsure,Search is fine once you learn the filters.,
R0023,2026-07-23,Commercial & Transactions | Paraprofessional,US,10+ years,4,4,4,4,4,4,4,4,7,Yes,Version control has saved me more than once.,The March search problem lasted three days and we had a filing deadline.
R0024,2026-07-15,Employment & Labor | Lawyer - Junior,US,10+ years,2,3,2,3,3,1,1,2,3,Yes,,Singapore latency makes large documents unusable in the morning.
R0025,2026-07-11,Office of the General Counsel | Executive Assistant,US,5 to 10 years,4,4,5,3,3,3,5,5,7,Yes,Version control has saved me more than once.,Search is unpredictable. I usually end up asking a paralegal.
R0026,2026-07-16,"Corporate, Securities & Governance | Executive Assistant",US,5 to 10 years,5,4,4,3,3,4,4,4,7,No / unsure,Outlook filing is the best part. One click and the email is on the matter.,
R0027,2026-07-13,Commercial & Transactions | Executive Assistant,US,Under 2 years,4,3,4,3,2,2,2,4,4,No / unsure,It does the job.,Singapore latency makes large documents unusable in the morning.
R0028,2026-07-13,Commercial & Transactions | Lawyer - Leadership,US,10+ years,4,4,3,4,4,3,4,4,6,No / unsure,Sharing a workspace with outside counsel saves us hours every week.,I would use it more if I knew what I was doing in it.
R0029,2026-07-06,Commercial & Transactions | Paraprofessional,US,Under 2 years,3,4,4,4,3,3,1,4,6,No / unsure,"Works for what I need, which is not much.",Painfully slow from the London office in the afternoon.
R0030,2026-07-20,Legal Operations | Legal Ops - Staff,US,2 to 5 years,5,3,4,4,4,1,3,4,6,Yes,Fine.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0031,2026-07-12,Legal Operations | Legal Ops - Staff,US,10+ years,5,3,3,4,5,4,3,4,7,No / unsure,The paralegals have this dialed in. Follow their folder conventions and everything is easy.,
R0032,2026-07-20,Litigation & Disputes | Lawyer - Junior,US,Under 2 years,2,2,3,3,3,2,2,3,4,No / unsure,,The mobile app logs me out constantly.
R0033,2026-07-18,Legal Operations | Legal Ops - Leadership,US,5 to 10 years,3,3,3,3,5,4,3,3,6,Yes,Adequate.,The March search problem lasted three days and we had a filing deadline.
R0034,2026-07-23,Legal Operations | Legal Ops - Leadership,US,5 to 10 years,4,3,4,4,4,3,1,4,7,No / unsure,"Works for what I need, which is not much.",Search is unpredictable. I usually end up asking a paralegal.
R0035,2026-07-14,"Corporate, Securities & Governance | Paraprofessional",US,Under 2 years,3,4,3,2,3,1,1,3,4,No / unsure,"Reliable, except for that outage in November.",It went down for most of a day last November and nobody told us why.
R0036,2026-07-09,Commercial & Transactions | Lawyer - Mid,US,10+ years,4,3,3,2,4,4,3,4,6,No / unsure,Adequate.,I still do not understand what the AI feature is supposed to do.
R0037,2026-07-07,Commercial & Transactions | Lawyer - Mid,US,5 to 10 years,5,3,2,4,5,4,3,4,8,Yes,Being able to see the whole matter file in one place is why I use it all day.,
R0038,2026-07-08,Employment & Labor | Lawyer - Senior,US,Under 2 years,2,1,2,2,2,1,1,1,1,No / unsure,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0039,2026-07-20,Regulatory & Trade Compliance | Paraprofessional,LATAM,10+ years,4,3,4,3,5,3,3,3,6,Yes,No strong opinion.,It went down for most of a day last November and nobody told us why.
R0040,2026-07-11,Legal Operations | Legal Ops - Staff,US,2 to 5 years,2,3,4,3,3,2,2,4,5,Yes,The paralegals have this dialed in. Follow their folder conventions and everything is easy.,"Filing email is more clicks than it should be, so I do not do it."
R0041,2026-07-08,Legal Operations | Legal Ops - Staff,US,5 to 10 years,5,4,4,4,3,3,4,4,7,No / unsure,Version control has saved me more than once.,
R0042,2026-07-11,Employment & Labor | Lawyer - Senior,US,10+ years,2,1,2,2,1,1,2,3,4,No / unsure,Outlook filing is the best part. One click and the email is on the matter.,The March search problem lasted three days and we had a filing deadline.
R0043,2026-07-13,Commercial & Transactions | Lawyer - Senior,US,10+ years,2,3,2,3,3,2,1,3,5,No / unsure,,It went down for most of a day last November and nobody told us why.
R0044,2026-07-07,Litigation & Disputes | Paraprofessional,US,Under 2 years,5,3,4,3,4,3,1,3,5,Yes,Fine.,Singapore latency makes large documents unusable in the morning.
R0045,2026-07-09,Commercial & Transactions | Paraprofessional,US,10+ years,4,4,4,4,4,3,4,4,9,Yes,Version control has saved me more than once.,
R0046,2026-07-11,Intellectual Property | Lawyer - Junior,US,5 to 10 years,3,3,3,3,3,3,3,3,4,No / unsure,"Works for what I need, which is not much.",Singapore latency makes large documents unusable in the morning.
R0047,2026-07-22,Litigation & Disputes | Lawyer - Mid,US,5 to 10 years,3,3,2,4,4,3,2,4,6,Yes,Fine.,Painfully slow from the London office in the afternoon.
R0048,2026-07-21,Commercial & Transactions | Paraprofessional,US,5 to 10 years,4,4,3,4,4,4,4,4,5,No / unsure,Outlook filing is the best part. One click and the email is on the matter.,"Too many places to put things. I save to my desktop and upload later, if at all."
R0049,2026-07-20,Privacy & Data Protection | Lawyer - Junior,UK/Ireland,10+ years,3,3,2,2,1,2,2,4,4,Yes,,Painfully slow from the London office in the afternoon.
R0050,2026-07-21,Litigation & Disputes | Lawyer - Mid,US,2 to 5 years,4,3,4,5,4,2,2,4,7,No / unsure,Adequate.,The mobile app logs me out constantly.
R0051,2026-07-06,Legal Operations | Legal Ops - Staff,US,5 to 10 years,5,3,4,3,4,4,3,3,6,Yes,Version control has saved me more than once.,
R0052,2026-07-07,"Corporate, Securities & Governance | Lawyer - Junior",US,5 to 10 years,2,1,1,3,1,1,2,2,2,Yes,,Support used to respond the same day. Now it is a week.
R0053,2026-07-12,Regulatory & Trade Compliance | Lawyer - Senior,US,Under 2 years,2,3,2,2,2,3,1,1,3,Yes,Being able to see the whole matter file in one place is why I use it all day.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0054,2026-07-09,Commercial & Transactions | Paraprofessional - Lead,US,5 to 10 years,5,4,4,5,5,3,3,4,9,No / unsure,The mobile app is good enough for reading on the train.,
R0055,2026-07-13,Legal Operations | Legal Ops - Leadership,US,10+ years,3,5,4,3,5,4,5,5,8,No / unsure,Being able to see the whole matter file in one place is why I use it all day.,
R0056,2026-07-24,Intellectual Property | Lawyer - Junior,US,Under 2 years,2,3,3,1,4,2,1,4,4,Yes,,I would use it more if I knew what I was doing in it.
R0057,2026-07-13,Commercial & Transactions | Lawyer - Junior,US,10+ years,4,4,3,3,3,3,4,3,7,Yes,Adequate.,"Nobody in Employment uses it consistently, so half the file is in email anyway."
R0058,2026-07-09,Intellectual Property | Lawyer - Mid,US,2 to 5 years,5,3,3,3,3,1,2,3,5,Yes,,Singapore latency makes large documents unusable in the morning.
R0059,2026-07-06,Regulatory & Trade Compliance | Lawyer - Mid,UK/Ireland,5 to 10 years,3,2,3,4,2,2,3,4,5,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0060,2026-07-21,Regulatory & Trade Compliance | Lawyer - Senior,US,10+ years,4,3,5,4,3,3,4,3,5,No / unsure,"Reliable, except for that outage in November.",
R0061,2026-07-14,Legal Operations | Executive Assistant,US,2 to 5 years,4,3,3,4,3,3,3,3,4,No / unsure,"Works for what I need, which is not much.","Nobody in Employment uses it consistently, so half the file is in email anyway."
R0062,2026-07-17,Commercial & Transactions | Lawyer - Mid,US,10+ years,3,3,3,3,2,3,4,5,7,Yes,No strong opinion.,"Filing email is more clicks than it should be, so I do not do it."
R0063,2026-07-19,Litigation & Disputes | Paraprofessional,US,Under 2 years,4,5,2,2,4,2,2,4,6,Yes,"Works for what I need, which is not much.",Painfully slow from the London office in the afternoon.
R0064,2026-07-24,Commercial & Transactions | Lawyer - Senior,US,2 to 5 years,4,4,3,3,4,3,2,3,6,No / unsure,"Works for what I need, which is not much.",The March search problem lasted three days and we had a filing deadline.
R0065,2026-07-22,"Real Estate, Environmental & Safety | Lawyer - Junior",US,5 to 10 years,2,2,3,2,2,1,1,1,2,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0066,2026-07-07,Intellectual Property | Lawyer - Junior,US,Under 2 years,3,3,2,4,2,4,2,2,3,No / unsure,,Search is unpredictable. I usually end up asking a paralegal.
R0067,2026-07-17,Intellectual Property | Lawyer - Mid,US,10+ years,4,3,3,4,4,3,3,3,7,No / unsure,No strong opinion.,Support used to respond the same day. Now it is a week.
R0068,2026-07-18,Privacy & Data Protection | Lawyer - Mid,UK/Ireland,5 to 10 years,4,4,3,4,3,3,3,4,6,Yes,It does the job.,Onboarding gave me a login and a link to a video. That was it.
R0069,2026-07-24,Regulatory & Trade Compliance | Paraprofessional,US,10+ years,4,4,3,3,4,4,3,5,5,Yes,"Reliable, except for that outage in November.",
R0070,2026-07-11,"Corporate, Securities & Governance | Lawyer - Mid",US,10+ years,3,2,3,3,4,3,2,3,4,No / unsure,Version control has saved me more than once.,Onboarding gave me a login and a link to a video. That was it.
R0071,2026-07-23,Commercial & Transactions | Paraprofessional,US,5 to 10 years,2,4,3,3,3,2,3,3,4,No / unsure,,It went down for most of a day last November and nobody told us why.
R0072,2026-07-06,Privacy & Data Protection | Lawyer - Senior,US,Under 2 years,3,4,2,3,3,2,1,2,6,Yes,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0073,2026-07-24,Office of the General Counsel | Executive Assistant,US,Under 2 years,4,3,4,2,3,3,1,3,7,No / unsure,,I would use it more if I knew what I was doing in it.
R0074,2026-07-13,Commercial & Transactions | Paraprofessional,US,Under 2 years,3,4,3,4,3,3,2,4,6,No / unsure,It does the job.,I would use it more if I knew what I was doing in it.
R0075,2026-07-18,Legal Operations | Legal Ops - Staff,US,Under 2 years,3,3,3,2,2,2,1,2,3,Yes,,I would use it more if I knew what I was doing in it.
R0076,2026-07-12,Employment & Labor | Executive Assistant,US,Under 2 years,5,3,3,3,3,3,3,4,5,Yes,Adequate.,Singapore latency makes large documents unusable in the morning.
R0077,2026-07-21,Litigation & Disputes | Paraprofessional,US,Under 2 years,4,3,4,3,3,3,3,3,8,Yes,Adequate.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0078,2026-07-07,Regulatory & Trade Compliance | Lawyer - Mid,US,Under 2 years,3,3,3,2,2,2,1,4,3,Yes,,It went down for most of a day last November and nobody told us why.
R0079,2026-07-18,"Real Estate, Environmental & Safety | Lawyer - Senior",US,5 to 10 years,2,1,2,1,2,1,1,3,1,No / unsure,Search is fine once you learn the filters.,Support used to respond the same day. Now it is a week.
R0080,2026-07-19,Commercial & Transactions | Paraprofessional,US,2 to 5 years,4,4,3,4,4,4,3,4,6,Yes,"Reliable, except for that outage in November.",Search is unpredictable. I usually end up asking a paralegal.
R0081,2026-07-07,Legal Operations | Legal Ops - Staff,US,Under 2 years,3,2,1,3,2,1,1,2,4,Yes,,Onboarding gave me a login and a link to a video. That was it.
R0082,2026-07-15,Litigation & Disputes | Lawyer - Junior,US,10+ years,4,3,3,3,4,3,4,3,5,Yes,No strong opinion.,"Nobody in Employment uses it consistently, so half the file is in email anyway."
R0083,2026-07-21,Legal Operations | Legal Ops - Staff,US,10+ years,4,4,3,4,5,3,3,3,6,Yes,"Compared with the shared drives we had before, this is night and day.",
R0084,2026-07-11,"Corporate, Securities & Governance | Paraprofessional",US,Under 2 years,2,3,3,3,3,4,1,3,6,No / unsure,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0085,2026-07-16,Commercial & Transactions | Paraprofessional,US,Under 2 years,4,4,3,3,5,3,3,3,7,No / unsure,No strong opinion.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0086,2026-07-08,Privacy & Data Protection | Lawyer - Junior,UK/Ireland,10+ years,3,4,3,3,3,2,2,4,6,Yes,It does the job.,Painfully slow from the London office in the afternoon.
R0087,2026-07-23,Litigation & Disputes | Executive Assistant,US,5 to 10 years,5,5,4,4,5,4,3,4,8,No / unsure,Sharing a workspace with outside counsel saves us hours every week.,Onboarding gave me a login and a link to a video. That was it.
R0088,2026-07-12,Regulatory & Trade Compliance | Lawyer - Senior,APAC,2 to 5 years,3,2,2,3,1,1,3,3,4,No / unsure,,Singapore latency makes large documents unusable in the morning.
R0089,2026-07-20,Commercial & Transactions | Lawyer - Senior,US,2 to 5 years,4,4,4,3,5,2,3,3,6,Yes,Adequate.,Painfully slow from the London office in the afternoon.
R0090,2026-07-10,Office of the General Counsel | Lawyer - Leadership,US,10+ years,5,2,4,3,3,3,2,2,5,Yes,"Works for what I need, which is not much.",I still do not understand what the AI feature is supposed to do.
R0091,2026-07-24,Employment & Labor | Lawyer - Senior,US,Under 2 years,3,1,2,2,2,1,1,2,4,Yes,,Onboarding gave me a login and a link to a video. That was it.
R0092,2026-07-08,Employment & Labor | Paraprofessional,US,10+ years,3,5,2,3,3,2,5,3,6,No / unsure,No strong opinion.,Painfully slow from the London office in the afternoon.
R0093,2026-07-14,Regulatory & Trade Compliance | Lawyer - Mid,LATAM,10+ years,3,3,3,3,3,3,4,3,6,No / unsure,No strong opinion.,"Nobody in Employment uses it consistently, so half the file is in email anyway."
R0094,2026-07-07,"Real Estate, Environmental & Safety | Paraprofessional",US,5 to 10 years,2,3,3,3,5,3,2,3,3,No / unsure,Adequate.,Onboarding gave me a login and a link to a video. That was it.
R0095,2026-07-16,Intellectual Property | Paraprofessional,US,5 to 10 years,5,4,3,5,5,3,5,4,6,Yes,Search is fine once you learn the filters.,
R0096,2026-07-07,"Corporate, Securities & Governance | Lawyer - Junior",US,Under 2 years,2,2,1,1,1,2,1,2,1,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0097,2026-07-08,Commercial & Transactions | Lawyer - Junior,US,10+ years,3,3,3,4,4,4,5,3,7,Yes,It just works. I do not think about it.,
R0098,2026-07-09,Commercial & Transactions | Lawyer - Junior,US,10+ years,4,3,2,2,4,3,5,3,6,Yes,No strong opinion.,I would use it more if I knew what I was doing in it.
R0099,2026-07-09,Litigation & Disputes | Paraprofessional,US,2 to 5 years,5,4,2,3,5,4,4,4,6,Yes,Search is fine once you learn the filters.,
R0100,2026-07-07,"Corporate, Securities & Governance | Lawyer - Mid",US,Under 2 years,1,1,2,1,1,3,1,2,1,Yes,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0101,2026-07-10,"Corporate, Securities & Governance | Lawyer - Mid",US,Under 2 years,1,1,1,2,2,2,1,1,1,No / unsure,Outlook filing is the best part. One click and the email is on the matter.,Onboarding gave me a login and a link to a video. That was it.
R0102,2026-07-07,Regulatory & Trade Compliance | Lawyer - Mid,US,10+ years,2,3,3,3,3,2,4,3,5,Yes,Version control has saved me more than once.,I still do not understand what the AI feature is supposed to do.
R0103,2026-07-15,Regulatory & Trade Compliance | Executive Assistant,US,10+ years,4,4,4,4,4,2,3,4,6,Yes,Being able to see the whole matter file in one place is why I use it all day.,
R0104,2026-07-08,Litigation & Disputes | Paraprofessional,US,10+ years,4,4,4,4,5,4,4,4,6,No / unsure,Version control has saved me more than once.,Onboarding gave me a login and a link to a video. That was it.
R0105,2026-07-15,"Corporate, Securities & Governance | Lawyer - Senior",US,5 to 10 years,2,3,3,3,3,2,4,3,4,No / unsure,The mobile app is good enough for reading on the train.,Painfully slow from the London office in the afternoon.
R0106,2026-07-23,Litigation & Disputes | Lawyer - Senior,US,5 to 10 years,4,4,4,3,4,3,3,5,7,No / unsure,The paralegals have this dialed in. Follow their folder conventions and everything is easy.,It went down for most of a day last November and nobody told us why.
R0107,2026-07-23,Intellectual Property | Lawyer - Mid,US,2 to 5 years,3,1,3,3,2,3,1,4,4,Yes,,The March search problem lasted three days and we had a filing deadline.
R0108,2026-07-22,Commercial & Transactions | Paraprofessional,US,5 to 10 years,4,5,3,4,4,3,4,4,8,No / unsure,It just works. I do not think about it.,
R0109,2026-07-10,Regulatory & Trade Compliance | Lawyer - Junior,APAC,Under 2 years,3,4,2,3,1,2,1,2,3,No / unsure,,Singapore latency makes large documents unusable in the morning.
R0110,2026-07-23,Legal Operations | Legal Ops - Staff,US,2 to 5 years,3,1,2,2,2,1,1,2,2,Yes,,I still do not understand what the AI feature is supposed to do.
R0111,2026-07-14,Intellectual Property | Executive Assistant,US,10+ years,4,4,5,4,4,3,3,3,7,Yes,Being able to see the whole matter file in one place is why I use it all day.,
R0112,2026-07-08,Regulatory & Trade Compliance | Lawyer - Mid,LATAM,Under 2 years,2,2,3,3,2,1,1,1,2,No / unsure,"Compared with the shared drives we had before, this is night and day.",It went down for most of a day last November and nobody told us why.
R0113,2026-07-14,Legal Operations | Legal Ops - Staff,US,2 to 5 years,3,5,4,2,4,3,3,5,7,No / unsure,Being able to see the whole matter file in one place is why I use it all day.,
R0114,2026-07-22,Litigation & Disputes | Executive Assistant,US,10+ years,5,4,5,3,4,4,3,5,7,No / unsure,Search is fine once you learn the filters.,
R0115,2026-07-11,Commercial & Transactions | Lawyer - Mid,US,5 to 10 years,2,4,5,5,4,3,4,3,7,No / unsure,The paralegals have this dialed in. Follow their folder conventions and everything is easy.,
R0116,2026-07-07,Employment & Labor | Lawyer - Mid,US,10+ years,2,2,2,1,2,2,2,2,1,No / unsure,,I would use it more if I knew what I was doing in it.
R0117,2026-07-21,Commercial & Transactions | Lawyer - Junior,US,Under 2 years,4,3,2,3,3,2,1,3,4,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0118,2026-07-11,Litigation & Disputes | Lawyer - Mid,US,2 to 5 years,3,3,3,2,4,4,4,4,7,No / unsure,Fine.,"Too many places to put things. I save to my desktop and upload later, if at all."
R0119,2026-07-12,Litigation & Disputes | Paraprofessional - Lead,US,10+ years,4,5,4,4,4,3,4,5,7,No / unsure,"Compared with the shared drives we had before, this is night and day.",
R0120,2026-07-19,Litigation & Disputes | Lawyer - Junior,US,10+ years,4,2,4,4,3,4,3,3,5,No / unsure,"Works for what I need, which is not much.",The March search problem lasted three days and we had a filing deadline.
R0121,2026-07-17,Litigation & Disputes | Paraprofessional,US,2 to 5 years,4,5,4,5,4,3,4,5,8,No / unsure,Sharing a workspace with outside counsel saves us hours every week.,The mobile app logs me out constantly.
R0122,2026-07-14,Employment & Labor | Paraprofessional,US,2 to 5 years,3,5,5,1,3,2,4,3,5,No / unsure,It does the job.,Painfully slow from the London office in the afternoon.
R0123,2026-07-09,Litigation & Disputes | Lawyer - Junior,US,Under 2 years,4,2,3,3,3,3,1,3,5,No / unsure,,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0124,2026-07-15,Privacy & Data Protection | Lawyer - Mid,UK/Ireland,2 to 5 years,3,3,3,3,2,2,3,3,5,Yes,Search is fine once you learn the filters.,Singapore latency makes large documents unusable in the morning.
R0125,2026-07-16,Commercial & Transactions | Lawyer - Junior,US,Under 2 years,2,2,2,2,1,1,1,1,1,No / unsure,,I would use it more if I knew what I was doing in it.
R0126,2026-07-06,"Real Estate, Environmental & Safety | Lawyer - Junior",US,10+ years,3,4,1,3,1,2,2,2,2,No / unsure,,Support used to respond the same day. Now it is a week.
R0127,2026-07-10,Intellectual Property | Paraprofessional,US,10+ years,4,4,5,3,5,2,4,3,7,No / unsure,"Compared with the shared drives we had before, this is night and day.",
R0128,2026-07-20,Litigation & Disputes | Lawyer - Mid,US,Under 2 years,3,3,2,4,2,1,3,3,4,Yes,,Singapore latency makes large documents unusable in the morning.
R0129,2026-07-13,"Corporate, Securities & Governance | Lawyer - Junior",US,5 to 10 years,3,2,1,4,3,1,1,3,2,Yes,,Search is unpredictable. I usually end up asking a paralegal.
R0130,2026-07-06,Litigation & Disputes | Lawyer - Senior,US,5 to 10 years,3,3,4,2,3,4,2,4,6,No / unsure,Adequate.,I would use it more if I knew what I was doing in it.
R0131,2026-07-08,Regulatory & Trade Compliance | Lawyer - Junior,US,Under 2 years,2,3,2,4,3,2,1,3,5,No / unsure,,It went down for most of a day last November and nobody told us why.
R0132,2026-07-13,Privacy & Data Protection | Lawyer - Mid,US,2 to 5 years,3,3,3,4,3,2,4,4,6,Yes,Adequate.,"Too many places to put things. I save to my desktop and upload later, if at all."
R0133,2026-07-16,Commercial & Transactions | Lawyer - Mid,US,5 to 10 years,2,4,3,3,3,3,4,4,6,Yes,"Works for what I need, which is not much.",Search is unpredictable. I usually end up asking a paralegal.
R0134,2026-07-13,Legal Operations | Legal Ops - Staff,US,Under 2 years,2,4,3,3,4,3,2,4,6,No / unsure,"Works for what I need, which is not much.",Onboarding gave me a login and a link to a video. That was it.
R0135,2026-07-07,Regulatory & Trade Compliance | Lawyer - Junior,US,10+ years,3,3,2,1,2,3,3,3,5,No / unsure,,"Filing email is more clicks than it should be, so I do not do it."
R0136,2026-07-13,Commercial & Transactions | Lawyer - Junior,US,Under 2 years,2,2,3,2,3,3,1,4,5,Yes,Being able to see the whole matter file in one place is why I use it all day.,I would use it more if I knew what I was doing in it.
R0137,2026-07-14,Commercial & Transactions | Lawyer - Senior,US,10+ years,3,2,3,2,2,3,2,2,1,No / unsure,,Search is unpredictable. I usually end up asking a paralegal.
R0138,2026-07-24,Legal Operations | Legal Ops - Staff,US,Under 2 years,3,3,1,2,3,2,3,3,3,No / unsure,,The mobile app logs me out constantly.
R0139,2026-07-16,Legal Operations | Legal Ops - Staff,US,Under 2 years,3,2,2,2,4,4,1,4,2,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0140,2026-07-22,Litigation & Disputes | Paraprofessional,US,2 to 5 years,4,4,2,4,2,3,3,3,6,No / unsure,"Works for what I need, which is not much.",Onboarding gave me a login and a link to a video. That was it.
R0141,2026-07-07,Regulatory & Trade Compliance | Lawyer - Mid,APAC,10+ years,3,4,3,1,2,3,4,3,6,No / unsure,The paralegals have this dialed in. Follow their folder conventions and everything is easy.,Singapore latency makes large documents unusable in the morning.
R0142,2026-07-10,Litigation & Disputes | Lawyer - Junior,US,Under 2 years,4,2,1,3,2,1,1,2,2,No / unsure,The mobile app is good enough for reading on the train.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0143,2026-07-18,Legal Operations | Legal Ops - Leadership,US,10+ years,4,4,3,3,4,2,3,4,6,No / unsure,"Works for what I need, which is not much.",I would use it more if I knew what I was doing in it.
R0144,2026-07-20,Privacy & Data Protection | Executive Assistant,UK/Ireland,Under 2 years,5,4,2,5,4,3,2,4,5,Yes,Outlook filing is the best part. One click and the email is on the matter.,I was never trained on the new version. I taught myself and I am sure I am doing it wrong.
R0145,2026-07-21,Commercial & Transactions | Paraprofessional,US,10+ years,4,4,4,3,3,4,4,5,8,No / unsure,The paralegals have this dialed in. Follow their folder conventions and everything is easy.,Onboarding gave me a login and a link to a video. That was it.
R0146,2026-07-08,Legal Operations | Legal Ops - Leadership,US,10+ years,4,4,3,5,4,2,2,4,6,No / unsure,It does the job.,The mobile app logs me out constantly.
R0147,2026-07-24,Regulatory & Trade Compliance | Lawyer - Junior,US,5 to 10 years,2,3,1,3,2,2,2,3,3,Yes,,I would use it more if I knew what I was doing in it.
R0148,2026-07-07,Litigation & Disputes | Lawyer - Junior,US,Under 2 years,3,1,3,3,3,2,1,2,5,No / unsure,,Onboarding gave me a login and a link to a video. That was it.
R0149,2026-07-12,Legal Operations | Legal Ops - Staff,US,5 to 10 years,4,4,1,4,4,3,3,3,6,Yes,"Works for what I need, which is not much.",The March search problem lasted three days and we had a filing deadline.
R0150,2026-07-13,Regulatory & Trade Compliance | Paraprofessional,US,10+ years,3,3,3,4,4,3,3,3,7,No / unsure,Fine.,"Filing email is more clicks than it should be, so I do not do it."
